trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,10,-21.6508437383348,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",25,0,-61.01807745875914,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-61.16978211993104,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",20,0,-60.8134086370082,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.7261490370736908}",20,0,-52.18526462607335,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,0,-77.4179142934965,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7117703227626098}",25,0,-75.08853661541266,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",25,9,-37.86116691070254,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6976763260710311}",30,7,-93.94132430915663,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",30,0,-51.10506660662264,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.6838614092123559}",20,9,-50.013099841797015,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,9,-28.02956758264674,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-4.878196129252776,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6636502501363193}",25,11,13.932541766988152,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
